cycle,actual_acc,actual_valid
1128,-24114,1
1129,-24114,0
1130,-24114,0
1131,-24114,0
1132,-27840,1
1133,-27840,0
1134,-27840,0
1135,-27840,0
1136,-42360,1
1137,-42360,0
1138,-42360,0
1139,-42360,0
1140,-42360,0
1141,-42360,0
1142,-44808,1
1143,-44808,0
1144,-44808,0
1145,-41528,1
1146,-41528,0
1147,-41528,0
1148,-41528,0
1149,-41528,0
1150,-41528,0
1151,-43517,1
1152,-43517,0
1153,-45449,1
1154,-49985,1
1155,-49985,0
1156,-49985,0
1157,-49985,0
1158,-49985,0
1159,-49985,0
1160,-49985,0
1161,-49985,0
1162,-49985,0
1163,-49985,0
1164,-49985,0
1165,-48685,1
1166,-48685,0
1167,-48685,0
1168,-52051,1
1169,-52051,0
1170,-52051,0
1171,-52051,0
1172,-63059,1
1173,-63059,0
1174,-63059,0
1175,-63059,0
1176,-63059,0
1177,-63059,0
1178,-62211,1
1179,-67211,1
1180,-67211,0
1181,-59093,1
1182,-51227,1
1183,-47321,1
1184,-47341,1
1185,-47341,0
1186,-47341,0
1187,-47341,0
1188,-47341,0
1189,-47341,0
1190,-47341,0
1191,-47341,0
1192,-47341,0
1193,-47341,0
1194,-47341,0
1195,-47341,0
1196,-47341,0
1197,-47341,0
1198,-47341,0
1199,-45232,1
1200,-43967,1
1201,-43967,0
1202,0,0
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,264,1
1208,264,0
1209,264,0
1210,264,0
1211,264,0
1212,264,0
1213,264,0
1214,12264,1
1215,5086,1
1216,5086,0
1217,5086,0
1218,5086,0
1219,5558,1
1220,5558,0
1221,5558,0
1222,5558,0
1223,5558,0
1224,-6858,1
1225,-6858,0
1226,-11734,1
1227,-11734,0
1228,-11734,0
1229,-11734,0
1230,-11734,0
1231,-11734,0
1232,-13442,1
1233,-13442,0
1234,-11825,1
1235,-13268,1
1236,-13268,0
1237,-13268,0
1238,-9920,1
1239,-9920,0
1240,-9920,0
1241,0,0
1242,0,0
1243,-1748,1
1244,-1748,0
1245,-1748,0
1246,-1748,0
1247,-560,1
1248,3044,1
1249,3044,0
1250,3044,0
1251,3044,0
1252,3044,0
1253,0,0
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,0,0
1259,0,0
1260,0,0
1261,0,0
1262,748,1
1263,7948,1
1264,7948,0
1265,7948,0
1266,7948,0
1267,8172,1
1268,8172,0
1269,8172,0
1270,8172,0
1271,8172,0
1272,8172,0
1273,8172,0
1274,0,0
1275,0,0
1276,0,0
1277,-1406,1
1278,-1406,0
1279,-1406,0
1280,-5228,1
1281,-5228,0
1282,-6978,1
1283,0,0
1284,0,0
1285,0,0
1286,0,0
1287,0,0
1288,1122,1
1289,0,0
1290,0,0
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,0,0
1296,0,0
1297,0,0
1298,0,0
1299,0,0
1300,0,0
1301,0,0
1302,7747,1
1303,7747,0
1304,7747,0
1305,7747,0
1306,10847,1
1307,10847,0
1308,10847,0
1309,5537,1
1310,13889,1
1311,20386,1
1312,20386,0
1313,20386,0
1314,20386,0
1315,14914,1
1316,14914,0
1317,14914,0
1318,14914,0
1319,14914,0
1320,14914,0
1321,14914,0
1322,14914,0
1323,14914,0
1324,14914,0
1325,14914,0
1326,14244,1
1327,0,0
1328,0,0
1329,0,0
1330,0,0
1331,0,0
1332,0,0
1333,0,0
1334,0,0
1335,0,0
1336,0,0
1337,0,0
1338,0,0
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,-5096,1
1345,-5096,0
1346,-3016,1
1347,-3016,0
1348,-3016,0
1349,-3016,0
1350,-3016,0
1351,-3016,0
1352,-3016,0
1353,4184,1
1354,4184,0
1355,4184,0
1356,5264,1
1357,0,0
1358,0,0
1359,0,0
1360,0,0
1361,0,0
1362,3850,1
1363,3850,0
1364,3058,1
1365,3058,0
1366,3058,0
1367,3058,0
1368,4047,1
1369,4047,0
1370,4047,0
1371,4047,0
1372,4047,0
1373,4047,0
1374,7337,1
1375,7337,0
1376,7337,0
1377,12562,1
1378,12562,0
1379,15748,1
1380,15748,0
1381,15748,0
1382,15748,0
1383,15748,0
1384,15748,0
